Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
FPT,2020,2,0.6243637107,1.005884623,0.41142253201713896,1.2086249869037633,0.8464424442,3.9266060022,69.01347170435031,28.4684987356,45.5147646093,142.99673504925033,12.8211889004,0.15796324638690212,0.3899360601374374,0.1258897138962851,0.1947649313,0.1548870652,0.0981369059,5803294105067.0,1102583854426,0.0378787879,1.2344039429,0.2460278533,1.1578845028,-10.877223322420585,2.0058846229968585,41390189808000.0,783905110.0,12.3415216618,2.7668582374,1.4354084978,7.8988598778,1120.939902421353,19083.0159948096,8.824492402
FPT,2020,1,0.6051200187,0.9520886482,0.415861719950201,1.1901931389653466,0.8775793069,3.9666706773,70.63270874650475,29.5469663498,45.9205706699,146.10024576620475,12.3532140552,0.158375423669332,0.3958001186292345,0.11267594074106907,0.1956760869,0.1583495375,0.0996313385,5745180368768.0,1050118527016,0.0448933782,1.236096358,0.245704483,1.159708679,-10.540616894846849,1.9520886482008888,34922972650500.0,783905110.0,10.6802569925,2.3692261841,1.2176324853,8.5918268349,953.0555797002012,18803.6078185496,7.6258056778
FPT,2019,4,0.4889000753,0.9878319533,0.4439303790701831,1.139166199795065,0.877796348,3.9578967666,74.89433555956639,29.5270730921,55.2913150771,159.71272372876638,12.3615367789,0.12742493345000958,0.3781967024772897,0.09325323723165403,0.1986016686,0.1681421008,0.0992965713,5501450664844.0,1034714399471,0.0394477318,1.1786655898,0.2144661235,1.0989127488,-8.569286240659146,1.9946143934602705,34560572771400.0,681668102.0,10.9693595133,2.4749405959,1.246910649,8.8214903769,1110.8541003698015,20485.3401672666,7.7532410565
FPT,2019,3,0.5592274031000001,0.9861279617,0.4421189829317452,1.097063385318779,0.876741122,3.8895550026,73.83011534428938,33.5044744636,46.9001585643,154.2347483721894,10.8940673102,0.16787086575897292,0.39169182469244035,0.13514322194383288,0.2030132131,0.1578555784,0.1045045737,5223017664979.0,1192617437145,0.0353982301,1.1965324619,0.2097027003,1.1040154679,-11.866141273058975,1.9861279616721472,38322611628000.0,678276312.0,12.0830594228,2.8220254113,1.4434553356,11.9985839157,1415.5116342055005,20021.0812323326,8.886838031
FPT,2019,2,0.4953566208,0.9218550717,0.43743998291867786,1.0669759311522324,0.8716569725,3.96281366,75.44854528110467,35.0734300099,47.8432369596,158.36521225060469,10.4067380891,0.15827807389257226,0.3776970868945193,0.11598501804204087,0.1944310763,0.1552347021,0.100209183,4881708506520.0,1080393236621,0.0346020761,1.2644861151,0.2182620296,1.1576186747,-14.92472612245002,1.9218550716939815,39204370833600.0,678276312.0,13.3380377083,2.9448058899,1.5385785117,12.3561323545,1167.2297398895453,19627.7792697189,9.457146938
FPT,2019,1,0.46861337329999997,0.8508182178,0.43073423814685974,1.0485686453973289,0.855334178,3.9842143467,75.24631573047554,35.0538579573,47.329648628,157.62982231577556,10.4125486115,0.14297333472448684,0.4022480365421747,0.11052793246541985,0.187294231,0.1453089179,0.0968427628,4473307925781.0,810155486857,0.0418410042,1.3312048006,0.2107300132,1.2158953271,-11.143378829543595,1.8508182178018082,32421607713600.0,678276312.0,11.8322510721,2.4770216743,1.3436642492,9.5882150198,923.3763073256198,19297.3684875951,8.745029054
FPT,2018,4,0.4962754655,1.0140186822,0.4412260163990851,0.9965914532699282,0.8478786408,3.9475378281,84.60448996950805,30.5455943997,60.3178155698,175.46789993900805,11.9493500511,0.12197408108633266,0.36982819137108175,0.1131199543754312,0.187066446,0.1435909114,0.0957024994,4286449299991.0,848018283943,0.0403632694,1.2736762983,0.2716550038,1.1809025594,-11.335414415079645,2.013568663048784,30553600081800.0,616621596.0,11.6044385987,2.4435468424,1.3161975389,8.4735199955,1275.4344739119388,20277.9006071562,8.371182923
FPT,2018,3,0.5168358749,0.9824389761,0.39547684328715105,0.9562222850657728,1.1017608384,5.3563361905,59.46617031968447,23.1825635117,34.3245633155,116.97329714688448,15.7445918272,0.14698462333403822,0.380326015386099,0.12009788714694734,0.2354154541,0.1485216357,0.1244352955,4313081825014.0,887207848753,0.0347222222,1.3070021461,0.2980629372,1.1913408723,-14.301578869190921,1.9824389760828742,26505549907200.0,613554396.0,8.1434833081,2.2325216266,0.9217132799,9.2019958813,1181.5055508134603,19350.316469963,7.3809406585
FPT,2018,2,0.0,0.0,0.39024448121776406,0.9373716960758596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13133226195701067,0.3654688673591058,0.10855933955393114,0.0,0.0,0.0,0.0,718947306103,0.0365853659,0.0,0.0,0.0,-13.050709311172131,1.8930549400669887,25155730236000.0,613554396.0,8.0738975063,2.1387875485,0.7497542675,8.9032332122,968.5895003725146,19169.7394298712,6.5361769675
FPT,2018,1,0.430043577,0.7993679377,0.37338097714098123,0.9383348205456933,1.4112428964,7.5629509602,49.38596863984602,34.8165666461,32.6373216803,116.83985696624603,10.4835150378,0.13943563538059425,0.3905810782420806,0.10714344640282303,0.2311204592,0.1635366381,0.1121954873,4242880876661.0,662426439907,0.0346420323,1.5100191904,0.2922991955,1.3977829515,-14.273781578775065,1.799367937747448,26566905346800.0,613554396.0,8.7630467058,1.9245976182,0.6986803404,9.5535771899,829.6146607855125,22498.2092835821,6.8293945632
